Sevilla,FC Red Bull Salzburg
Young Boys,Manchester United
Barcelona,FC Bayern München
Chelsea,Zenit St Petersburg
Dynamo Kyiv,Benfica
Lille,VfL Wolfsburg
Malmö FF,Juventus
Villarreal,Atalanta
Besiktas,Borussia Dortmund
Sheriff Tiraspol,Shakhtar Donetsk
Atlético de Madrid,FC Porto
Club Brugge,Paris Saint-Germain
Internazionale,Real Madrid
Liverpool,Milan
Manchester City,RB Leipzig
Sporting CP,Ajax
Ajax,Besiktas
Shakhtar Donetsk,Internazionale
Borussia Dortmund,Sporting CP
FC Porto,Liverpool
Milan,Atlético de Madrid
Paris Saint-Germain,Manchester City
RB Leipzig,Club Brugge
Real Madrid,Sheriff Tiraspol
Atalanta,Young Boys
Zenit St Petersburg,Malmö FF
Benfica,Barcelona
FC Bayern München,Dynamo Kyiv
FC Red Bull Salzburg,Lille
Juventus,Chelsea
Manchester United,Villarreal
VfL Wolfsburg,Sevilla
Besiktas,Sporting CP
Club Brugge,Manchester City
Ajax,Borussia Dortmund
Atlético de Madrid,Liverpool
FC Porto,Milan
Internazionale,Sheriff Tiraspol
Paris Saint-Germain,RB Leipzig
Shakhtar Donetsk,Real Madrid
Barcelona,Dynamo Kyiv
FC Red Bull Salzburg,VfL Wolfsburg
Benfica,FC Bayern München
Chelsea,Malmö FF
Lille,Sevilla
Manchester United,Atalanta
Young Boys,Villarreal
Zenit St Petersburg,Juventus
Malmö FF,Chelsea
VfL Wolfsburg,FC Red Bull Salzburg
Atalanta,Manchester United
Dynamo Kyiv,Barcelona
FC Bayern München,Benfica
Juventus,Zenit St Petersburg
Sevilla,Lille
Villarreal,Young Boys
Milan,FC Porto
Real Madrid,Shakhtar Donetsk
Borussia Dortmund,Ajax
Liverpool,Atlético de Madrid
Manchester City,Club Brugge
RB Leipzig,Paris Saint-Germain
Sheriff Tiraspol,Internazionale
Sporting CP,Besiktas
Dynamo Kyiv,FC Bayern München
Villarreal,Manchester United
Barcelona,Benfica
Chelsea,Juventus
Lille,FC Red Bull Salzburg
Malmö FF,Zenit St Petersburg
Sevilla,VfL Wolfsburg
Young Boys,Atalanta
Besiktas,Ajax
Internazionale,Shakhtar Donetsk
Atlético de Madrid,Milan
Club Brugge,RB Leipzig
Liverpool,FC Porto
Manchester City,Paris Saint-Germain
Sheriff Tiraspol,Real Madrid
Sporting CP,Borussia Dortmund
Paris Saint-Germain,Club Brugge
RB Leipzig,Manchester City
Ajax,Sporting CP
Borussia Dortmund,Besiktas
FC Porto,Atlético de Madrid
Milan,Liverpool
Real Madrid,Internazionale
Shakhtar Donetsk,Sheriff Tiraspol
Juventus,Malmö FF
Zenit St Petersburg,Chelsea
Benfica,Dynamo Kyiv
FC Bayern München,Barcelona
FC Red Bull Salzburg,Sevilla
Manchester United,Young Boys
VfL Wolfsburg,Lille
Atalanta,Villarreal
